"Month","Category Group/Category","Category Group","Category","Assigned","Activity","Available"
"Mar 2022","Savings: RESP","Savings","RESP",0.00$,0.00$,0.00$
"Mar 2022","Savings: Retirement","Savings","Retirement",0.00$,0.00$,0.00$
"Mar 2022","Savings: Emergency Fund","Savings","Emergency Fund",-1761.59$,0.00$,1369.82$
"Mar 2022","Savings: House","Savings","House",0.00$,0.00$,59257.00$
"Mar 2022","Savings: Investment Gain/Loss","Savings","Investment Gain/Loss",0.00$,-228.47$,-228.47$
"Mar 2022","Savings: Savings Expenses","Savings","Savings Expenses",0.00$,0.00$,0.00$
"Mar 2022","Hidden Categories: Rent","Hidden Categories","Rent",1480.00$,-1480.00$,0.00$
"Mar 2022","Hidden Categories: Hydro","Hidden Categories","Hydro",50.00$,-5.61$,45.08$
"Mar 2022","Hidden Categories: Moving & Home Setup","Hidden Categories","Moving & Home Setup",0.00$,0.00$,0.00$
"Mar 2022","Hidden Categories: Alcohol","Hidden Categories","Alcohol",25.00$,0.00$,125.00$
"Mar 2022","Hidden Categories: Vivian COGS","Hidden Categories","Vivian COGS",0.00$,0.00$,0.00$
"Mar 2022","Hidden Categories: Income Tax and HST","Hidden Categories","Income Tax and HST",500.00$,0.00$,1560.00$
"Mar 2022","Hidden Categories: Moving Out Fund","Hidden Categories","Moving Out Fund",250.00$,0.00$,10250.00$
"Mar 2022","Hidden Categories: Publishing","Hidden Categories","Publishing",0.00$,0.00$,6615.00$
"Mar 2022","Hidden Categories: Tuition","Hidden Categories","Tuition",-357.56$,0.00$,1642.44$
"Apr 2022","Credit Card Payments: Credit Card (TG)","Credit Card Payments","Credit Card (TG)",0.00$,574.91$,1912.46$
"Apr 2022","Credit Card Payments: Reconcile account","Credit Card Payments","Reconcile account",0.00$,0.00$,0.00$
"Apr 2022","Credit Card Payments: BBC Visa","Credit Card Payments","BBC Visa",0.00$,0.00$,0.00$
"Apr 2022","Credit Card Payments: TD Travel Visa","Credit Card Payments","TD Travel Visa",0.00$,0.00$,0.00$
"Apr 2022","Credit Card Payments: Viv's Credit Card (TG)","Credit Card Payments","Viv's Credit Card (TG)",0.00$,0.00$,0.00$
"Apr 2022","Credit Card Payments: WS Credit Card","Credit Card Payments","WS Credit Card",0.00$,0.00$,0.00$
"Apr 2022","Monthly: Amroth House","Monthly","Amroth House",0.00$,0.00$,0.00$
"Apr 2022","Monthly: Internet","Monthly","Internet",50.00$,-39.52$,13.67$
"Apr 2022","Monthly: Cellphone","Monthly","Cellphone",100.00$,-102.27$,9.58$
"Apr 2022","Monthly: Groceries","Monthly","Groceries",575.00$,-451.13$,123.87$
"Apr 2022","Monthly: Daycare","Monthly","Daycare",0.00$,0.00$,0.00$
"Apr 2022","Monthly: Life Insurance","Monthly","Life Insurance",0.00$,0.00$,0.00$
"Apr 2022","Cumulative: Fees","Cumulative","Fees",120.00$,-128.32$,-8.32$
"Apr 2022","Cumulative: Progeny","Cumulative","Progeny",0.00$,0.00$,0.00$
"Apr 2022","Cumulative: Books & Education","Cumulative","Books & Education",0.00$,0.00$,0.00$
"Apr 2022","Cumulative: Miscellaneous","Cumulative","Miscellaneous",0.00$,0.00$,0.00$
"Apr 2022","Cumulative: Car","Cumulative","Car",450.00$,-582.97$,607.92$
"Apr 2022","Cumulative: Health & Pharmacy","Cumulative","Health & Pharmacy",0.00$,0.00$,0.00$
"Apr 2022","Cumulative: Clothes","Cumulative","Clothes",225.00$,-150.00$,99.00$
"Apr 2022","Cumulative: Eating Out","Cumulative","Eating Out",70.00$,-63.20$,23.98$
"Apr 2022","Cumulative: Fun, Dates & Hobbies","Cumulative","Fun, Dates & Hobbies",150.00$,-107.35$,264.58$
"Apr 2022","Cumulative: Gifts","Cumulative","Gifts",150.00$,-205.60$,459.01$
"Apr 2022","Cumulative: Exercise","Cumulative","Exercise",50.00$,-50.00$,0.00$
"Apr 2022","Cumulative: Home Improvement","Cumulative","Home Improvement",100.00$,-100.00$,0.00$
"Apr 2022","Cumulative: Public Transportation","Cumulative","Public Transportation",100.00$,-100.00$,96.75$
"Apr 2022","Cumulative: Bike","Cumulative","Bike",50.00$,0.00$,200.00$
"Apr 2022","Cumulative: Special Splurge","Cumulative","Special Splurge",400.00$,-422.61$,-22.61$
"Apr 2022","Cumulative: Tim's Choice","Cumulative","Tim's Choice",60.00$,0.00$,655.00$
"Apr 2022","Cumulative: Vivian's Choice","Cumulative","Vivian's Choice",60.00$,-140.15$,450.85$
"Apr 2022","Cumulative: Weddings","Cumulative","Weddings",125.00$,0.00$,355.00$
